,Paper_Title,Publish_Year,Publish_Journal,MP_polymer,MP_size_um,MP_shape,mouse_rat,exposure_method,exposure_duration_day,MP_dose_mg_kg_dw_day,if_coexposure,Liver_MP_accum,Brain_MP_conc,blood_MP_conc,Kidney_MP_conc,Heart_MP_conc,Lung_MP_conc,Spleen_MP_conc,Testis_MP_conc,Gut_MP_conc,Uterus_ovaries_MP_conc,MP_accumulation_detection_method
638,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,0.02,,mice,oral gavage,14,0.21,none,,,,,,,,,M,,fluorescence microscopy
639,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,pe,0.5,,mice,oral gavage,14,2.1,none,,,,,,,,,M,,fluorescence microscopy
640,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,5,,mice,oral gavage,14,210,none,,,,,,,,,M,,fluorescence microscopy
638,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,0.02,,mice,oral gavage,14,0.21,none,,,,,,,,,M,,fluorescence microscopy
639,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,pe,0.5,,mice,oral gavage,14,2.1,none,,,,,,,,,M,,fluorescence microscopy
640,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,5,,mice,oral gavage,14,210,none,,,,,,,,,M,,fluorescence microscopy
638,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,0.02,,mice,oral gavage,14,0.21,none,,,,,,,,,M,,fluorescence microscopy
639,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,pe,0.5,,mice,oral gavage,14,2.1,none,,,,,,,,,M,,fluorescence microscopy
640,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,5,,mice,oral gavage,14,210,none,,,,,,,,,M,,fluorescence microscopy
638,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,0.02,,mice,oral gavage,28,0.21,none,,,,,,,,,M,,fluorescence microscopy
639,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,pe,0.5,,mice,oral gavage,28,2.1,none,,,,,,,,,M,,fluorescence microscopy
640,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,5,,mice,oral gavage,28,210,none,,,,,,,,,M,,fluorescence microscopy
638,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,0.02,,mice,oral gavage,28,0.21,none,,,,,,,,,M,,fluorescence microscopy
639,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,pe,0.5,,mice,oral gavage,28,2.1,none,,,,,,,,,M,,fluorescence microscopy
640,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,5,,mice,oral gavage,28,210,none,,,,,,,,,M,,fluorescence microscopy
638,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,0.02,,mice,oral gavage,28,0.21,none,,,,,,,,,M,,fluorescence microscopy
639,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,pe,0.5,,mice,oral gavage,28,2.1,none,,,,,,,,,M,,fluorescence microscopy
640,"continuous oral exposure to micro- and nanoplastics induced gut microbiota dysbiosis, intestinal barrier and immune dysfunction in adult mice ",2023, environment international ,ps,5,,mice,oral gavage,28,210,none,,,,,,,,,M,,fluorescence microscopy
649,the size-dependence and reversibility of polystyrene nanoplastics-induced lipid accumulation in mice: possible roles of lysosomes ,2024, environment international ,pe,0.1,beads,mice,oral gavage,30,12,none,M,,,,,,,,,,fluorescence microscopy
650,the size-dependence and reversibility of polystyrene nanoplastics-induced lipid accumulation in mice: possible roles of lysosomes ,2024, environment international ,ps,0.5,beads,mice,oral gavage,30,12,none,M,,,,,,,,,,fluorescence microscopy
653,polystyrene microplastics induce anxiety via hras derived perk-nf-  b pathway ,2024, environment international ,ps,0.48,irregular,mice,oral gavage,7,2,none,,M,,,,,,,,,other microscope
653,polystyrene microplastics induce anxiety via hras derived perk-nf-  b pathway ,2024, environment international ,ps,0.48,irregular,mice,oral gavage,7,10,none,,M,,,,,,,,,other microscope
654,aged polystyrene microplastics exacerbate alopecia associated with tight junction injuries and apoptosis via oxidative stress pathway in skin ,2024, environment international ,ps,0.12,beads,mice,oral gavage,60,30,Yes,,,,,,,,,,,other microscope
669,in vivo and in vitro assessment of the retinal toxicity of polystyrene nanoplastics ,2025, environment international ,ps,0.07,beads,mice,oral gavage,28,50,none,,,,,,,,,,,fluorescence microscopy
683,maternal exposure to polystyrene microplastics impairs social behavior in mouse offspring with a potential neurotoxicity ,2023, neurotoxicology ,ps,2,beads,mice,oral gavage,38,0.25,none,M,N,,M,,,,M,,,fluorescence microscopy
687,manifestation of polystyrene microplastic accumulation in brain with emphasis on morphometric and histopathological changes in limbic areas of swiss albino mice ,2024, neurotoxicology ,pe,2,beads,mice,oral gavage,60,250,none,M,M,,M,,,,,,,fluorescence microscopy
692,the emerging risk of exposure to nano(micro)plastics on endocrine disturbance and reproductive toxicity: from a hypothetical scenario to a global public health challenge ,2020, environmental pollution ,ps,0.04,beads,rat,oral gavage,35,1,none,N,N,,N,N,N,N,M,,,fluorescence microscopy
694,the emerging risk of exposure to nano(micro)plastics on endocrine disturbance and reproductive toxicity: from a hypothetical scenario to a global public health challenge ,2020, environmental pollution ,ps,0.04,beads,rat,oral gavage,35,6,none,N,N,,N,N,N,N,M,,,fluorescence microscopy
698,polystyrene microplastics cause cardiac fibrosis by activating wnt/  -catenin signaling pathway and promoting cardiomyocyte apoptosis in rats ,2020, environmental pollution ,ps,0.5,beads,rat,oral gavage,90,0.12,none,,,,,M,,,,,,other microscope
699,polystyrene microplastics cause cardiac fibrosis by activating wnt/  -catenin signaling pathway and promoting cardiomyocyte apoptosis in rats ,2020, environmental pollution ,ps,0.5,beads,rat,oral gavage,90,1.2,none,,,,,M,,,,,,other microscope
700,polystyrene microplastics cause cardiac fibrosis by activating wnt/  -catenin signaling pathway and promoting cardiomyocyte apoptosis in rats ,2020, environmental pollution ,ps,0.5,beads,rat,oral gavage,90,12,none,,,,,M,,,,,,other microscope
701,"tissue distribution of polystyrene nanoplastics in mice and their entry, transport, and cytotoxicity to ges-1 cells ",2021, environmental pollution ,ps,0.06,,mice,oral gavage,3,1042,none,M,,,,,,,M,,,fluorescence microscopy
706,accumulation of polystyrene microplastics induces liver fibrosis by activating cgas/sting pathway ,2022, environmental pollution ,ps,0.1,beads,mice,oral gavage,60,0.25,none,M,,,,,,,,,,fluorescence microscopy
708,polystyrene microplastic particles: in vivo and in vitro ocular surface toxicity assessment ,2022, environmental pollution ,ps,0.05,beads,mice,ocular exposure,14,250,none,,,,,,,,,,,fluorescence microscopy
709,polystyrene microplastic particles: in vivo and in vitro ocular surface toxicity assessment ,2022, environmental pollution ,ps,2,beads,mice,ocular exposure,14,250,none,,,,,,,,,,,fluorescence microscopy
708,polystyrene microplastic particles: in vivo and in vitro ocular surface toxicity assessment ,2022, environmental pollution ,ps,0.05,beads,mice,ocular exposure,21,250,none,,,,,,,,,,,fluorescence microscopy
709,polystyrene microplastic particles: in vivo and in vitro ocular surface toxicity assessment ,2022, environmental pollution ,ps,2,beads,mice,ocular exposure,21,250,none,,,,,,,,,,,fluorescence microscopy
710,polystyrene microplastic particles: in vivo and in vitro ocular surface toxicity assessment ,2022, environmental pollution ,ps,0.05,beads,mice,ocular exposure,28,250,none,,,,,,,,,,,fluorescence microscopy
711,polystyrene microplastic particles: in vivo and in vitro ocular surface toxicity assessment ,2022, environmental pollution ,ps,2,beads,mice,ocular exposure,28,250,none,,,,,,,,,,,fluorescence microscopy
712,"orally administered fluorescent nanosized polystyrene particles affect cell viability, hormonal and inflammatory profile, and behavior in treated mice ",2022, environmental pollution ,ps,0.04,beads,mice,oral gavage,35,4.2,none,,,,,,,,M,M,,other microscope
712,"orally administered fluorescent nanosized polystyrene particles affect cell viability, hormonal and inflammatory profile, and behavior in treated mice ",2022, environmental pollution ,ps,0.2,beads,mice,oral gavage,35,4.2,none,,,,,,,,M,M,,other microscope
742,transcriptome and proteome analyses reveal the mechanisms involved in polystyrene nanoplastics disrupt spermatogenesis in mice ,2024, environmental pollution ,ps,0.025,beads,mice,oral gavage,28,42,none,H,H,H,H,H,H,H,H,,,fluorescence microscopy
743,transcriptome and proteome analyses reveal the mechanisms involved in polystyrene nanoplastics disrupt spermatogenesis in mice ,2024, environmental pollution ,ps,0.05,beads,mice,oral gavage,28,42,none,H,H,H,H,H,H,H,H,,,fluorescence microscopy
744,transcriptome and proteome analyses reveal the mechanisms involved in polystyrene nanoplastics disrupt spermatogenesis in mice ,2024, environmental pollution ,ps,0.1,beads,mice,oral gavage,28,42,none,H,H,H,H,H,H,H,H,,,fluorescence microscopy
746,polystyrene nanoplastics induce vascular stenosis via regulation of the piwi-interacting rna expression profile ,2024, environmental pollution ,pe,0.1,beads,mice,oral gavage,180,25,none,,,M,,,,,,,,fluorescence microscopy
749,low-dose polystyrene microplastics exposure impairs fertility in male mice with high-fat diet-induced obesity by affecting prostate function,2024,environmental pollution,ps,1,beads,mice,oral gavage,84,0.027,Yes,,,,,,,,M,,,fluorescence microscopy
758,inhalation exposure to polystyrene nanoplastics induces chronic obstructive pulmonary disease-like lung injury in mice through multi-dimensional assessment ,2024, environmental pollution ,ps,0.04,beads,mice,inhalation,90,4.2,none,,,,,,M,,,,,fluorescence microscopy
760,subchronic co-exposure of polystyrene nanoplastics and 3-bha significantly aggravated the reproductive toxicity of ovaries and uterus in female mice ,2024, environmental pollution ,ps,0.075,,mice,oral gavage,35,100,none,,,,,,,,,,M,MS_based
760,subchronic co-exposure of polystyrene nanoplastics and 3-bha significantly aggravated the reproductive toxicity of ovaries and uterus in female mice ,2024, environmental pollution ,ps,0.075,,mice,oral gavage,35,100,Yes,,,,,,,,,,M,MS_based
761,chronic exposure to polystyrene microplastics induced lhr reduction and decreased testosterone levels through nf-  b pathway ,2024, environmental pollution ,ps,0.5,beads,mice,oral gavage,180,0.25,none,,,,,,,,M,,,fluorescence microscopy
762,chronic exposure to polystyrene microplastics induced lhr reduction and decreased testosterone levels through nf-  b pathway ,2024, environmental pollution ,pe,4,beads,mice,oral gavage,180,0.25,none,,,,,,,,M,,,fluorescence microscopy
763,chronic exposure to polystyrene microplastics induced lhr reduction and decreased testosterone levels through nf-  b pathway ,2024, environmental pollution ,ps,10,beads,mice,oral gavage,180,0.25,none,,,,,,,,M,,,fluorescence microscopy
769,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,0.05,beads,mice,oral gavage,11,5,Yes,M,,,,,,,,H,,fluorescence microscopy
769,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,0.05,beads,mice,oral gavage,22,5,Yes,M,,,,,,,,H,,fluorescence microscopy
769,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,0.05,beads,mice,oral gavage,33,5,Yes,M,,,,,,,,H,,fluorescence microscopy
769,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,0.05,beads,mice,oral gavage,55,5,Yes,M,,,,,,,,H,,fluorescence microscopy
769,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,0.05,beads,mice,oral gavage,66,5,Yes,M,,,,,,,,H,,fluorescence microscopy
770,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,5,beads,mice,oral gavage,11,5,Yes,M,,,,,,,,M,,fluorescence microscopy
770,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,5,beads,mice,oral gavage,22,5,Yes,M,,,,,,,,H,,fluorescence microscopy
770,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,5,beads,mice,oral gavage,33,5,Yes,M,,,,,,,,M,,fluorescence microscopy
770,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,5,beads,mice,oral gavage,55,5,Yes,M,,,,,,,,H,,fluorescence microscopy
770,lactic acid bacteria reduce polystyrene micro- and nanoplastics-induced toxicity through their bio-binding capacity and gut environment repair ability ,2023, environmental pollution ,ps,5,beads,mice,oral gavage,66,5,Yes,M,,,,,,,,M,,fluorescence microscopy
781,polystyrene microplastics induce hepatic lipid metabolism and energy disorder by upregulating the nr4a1-ampk signaling pathway ,2025, environmental pollution ,ps-cooh,2,beads,mice,oral gavage,56,17,none,H,,,,,,,,,,FTIR_Raman spectroscopy
782,exposure to polystyrene microplastics with different functional groups: implications for blood pressure and heart ,2025, environmental pollution ,ps,0.3,beads,rat,oral gavage,42,10,none,,,,,M,,,,,,fluorescence microscopy
783,exposure to polystyrene microplastics with different functional groups: implications for blood pressure and heart ,2025, environmental pollution ,ps-cooh,0.3,beads,rat,oral gavage,42,10,none,,,,,M,,,,,,fluorescence microscopy
784,exposure to polystyrene microplastics with different functional groups: implications for blood pressure and heart ,2025, environmental pollution ,ps-nh2,0.3,beads,rat,oral gavage,42,10,none,,,,,M,,,,,,fluorescence microscopy
788,unraveling the impact of micro- and nano-sized polymethyl methacrylate on gut microbiota and liver lipid metabolism: insights from oral exposure studies ,2025, environmental pollution ,other,0.1,beads,mice,oral gavage,56,0.05,none,M,,,,,,,,M,,FTIR_Raman spectroscopy
789,unraveling the impact of micro- and nano-sized polymethyl methacrylate on gut microbiota and liver lipid metabolism: insights from oral exposure studies ,2025, environmental pollution ,other,2,beads,mice,oral gavage,56,0.05,none,M,,,,,,,,M,,FTIR_Raman spectroscopy
790,effects of polystyrene microparticles exposures on spermatogenic cell differentiation and reproductive endpoints in male mice ,2025, environmental pollution ,ps,0.1,,mice,oral gavage,90,0.25,none,,,,,,,,M,,,fluorescence microscopy
791,effects of polystyrene microparticles exposures on spermatogenic cell differentiation and reproductive endpoints in male mice ,2025, environmental pollution ,ps,1,,mice,oral gavage,90,0.25,none,,,,,,,,M,,,fluorescence microscopy
802,male reproductive toxicity of polystyrene microplastics: study on the endoplasmic reticulum stress signaling pathway ,2023, food and chemical toxicology ,ps,10,beads,mice,oral gavage,35,42,none,,,M,,,,,,,,fluorescence microscopy
806,the effect and a mechanistic evaluation of polystyrene nanoplastics on a mouse model of type 2 diabetes ,2023, food and chemical toxicology ,ps,0.08,beads,mice,oral gavage,56,10,Yes,M,,,,,,,,,,fluorescence microscopy
829,comparing the effects of polystyrene microplastics exposure on reproduction and fertility in male and female mice ,2022, toxicology ,ps,5.5,beads,mice,oral gavage,44,4.2,none,,,,,,,,M,,M,fluorescence microscopy
848,chronic exposure to polystyrene microplastics triggers osteoporosis by breaking the balance of osteoblast and osteoclast differentiation ,2025, toxicology ,ps,5,,mice,oral gavage,180,1.5,none,,,,,,,,,,,fluorescence microscopy
853,exposure to submicroplastics promotes the progression of nonalcoholic fatty liver disease in apoe-deficient mice ,2025, toxicology ,ps,0.5,beads,mice,oral gavage,84,2.5,none,M,,,M,,,,M,,,fluorescence microscopy
859,microplastic ingestion induces behavioral disorders in mice: a preliminary study on the trophic transfer effects via tadpoles and fish ,2021, journal of hazardous materials ,pe,3.7,irregular,mice,oral gavage,7,15,none,M,,,,,,,,,,fluorescence microscopy
860,polystyrene microplastics induced male reproductive toxicity in mice ,2021, journal of hazardous materials ,ps,0.5,beads,mice,oral gavage,1,42,none,,,,,,,,M,,,fluorescence microscopy
861,polystyrene microplastics induced male reproductive toxicity in mice ,2021, journal of hazardous materials ,ps,4,beads,mice,oral gavage,1,42,none,,,,,,,,M,,,fluorescence microscopy
862,polystyrene microplastics induced male reproductive toxicity in mice ,2021, journal of hazardous materials ,ps,10,beads,mice,oral gavage,1,42,none,,,,,,,,M,,,fluorescence microscopy
866,keap1-nrf2 pathway up-regulation via hydrogen sulfide mitigates polystyrene microplastics induced-hepatotoxic effects ,2021, journal of hazardous materials ,ps,5,beads,mice,oral gavage,30,20,Yes,M,,,,,,,,,,other microscope
868,enhanced reproductive toxicities induced by phthalates contaminated microplastics in male mice (mus musculus) ,2021, journal of hazardous materials ,pe,1.4,beads,mice,oral gavage,30,100,Yes,,,,,,,,M,,,FTIR_Raman spectroscopy
873,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.25,irregular,mice,intravenous administration,0.021,157.5,none,M,,,M,M,M,M,M,,,MS_based
873,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.25,irregular,mice,intravenous administration,0.042,157.5,none,M,,,M,N,M,M,N,,,MS_based
873,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.25,irregular,mice,intravenous administration,0.167,157.5,none,M,,,M,N,M,M,M,,,MS_based
873,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.25,irregular,mice,intravenous administration,0.5,157.5,none,M,,,M,N,M,M,N,,,MS_based
873,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.25,irregular,mice,intravenous administration,1.5,157.5,none,M,,,M,N,N,M,N,,,MS_based
873,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.25,irregular,mice,intravenous administration,3,157.5,none,M,,,M,N,N,M,N,,,MS_based
874,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.9,irregular,mice,intravenous administration,0.021,177.5,none,M,,,M,N,M,M,N,,,MS_based
874,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.9,irregular,mice,intravenous administration,0.042,177.5,none,M,,,M,N,M,M,M,,,MS_based
874,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.9,irregular,mice,intravenous administration,0.167,177.5,none,M,,,M,N,M,M,N,,,MS_based
874,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.9,irregular,mice,intravenous administration,0.5,177.5,none,M,,,M,N,M,M,M,,,MS_based
874,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.9,irregular,mice,intravenous administration,1.5,177.5,none,M,,,M,N,M,M,M,,,MS_based
874,tracking of realistic nanoplastics in complicated matrices by iridium element labeling and inductively coupled plasma mass spectroscopy ,2022, journal of hazardous materials ,pet,0.9,irregular,mice,intravenous administration,3,177.5,none,M,,,M,N,M,M,M,,,MS_based
877,polystyrene microplastics induced female reproductive toxicity in mice ,2022, journal of hazardous materials ,ps,0.79,beads,mice,oral gavage,35,30,none,M,M,M,M,M,M,M,,M,M,fluorescence microscopy
878,maternal exposure to polystyrene nanoplastics causes brain abnormalities in progeny ,2022, journal of hazardous materials ,ps,0.05,beads,mice,oral gavage,26,21,none,,,M,,,,,,M,M,fluorescence microscopy
885,exposure to polystyrene microplastics impairs hippocampus-dependent learning and memory in mice ,2022, journal of hazardous materials ,ps,2,,mice,oral gavage,42,16,none,,M,,,,,,,,,fluorescence microscopy
890,dietary exposure to polystyrene nanoplastics impairs fasting-induced lipolysis in adipose tissue from high-fat diet fed mice ,2022, journal of hazardous materials ,ps,0.06,,mice,oral gavage,4,0.5,Yes,N,,,M,,,N,,,,fluorescence microscopy
898,"exposure to polystyrene particles causes anxiety-, depression-like behavior and abnormal social behavior in mice ",2023, journal of hazardous materials ,ps,0.193,beads,mice,oral gavage,123,2.5,none,,,,,,,,,,,fluorescence microscopy
903,the gut-brain axis involved in polystyrene nanoplastics-induced neurotoxicity via reprogramming the circadian rhythm-related pathways ,2023, journal of hazardous materials ,ps,0.08,beads,mice,oral gavage,42,2.5,Yes,,M,,,,,,,,,fluorescence microscopy
905,polystyrene microplastics induce size-dependent multi-organ damage in mice: insights into gut microbiota and fecal metabolites ,2024, journal of hazardous materials ,ps,0.5,beads,mice,oral gavage,56,21,none,M,,,M,M,M,M,,H,,fluorescence microscopy
905,polystyrene microplastics induce size-dependent multi-organ damage in mice: insights into gut microbiota and fecal metabolites ,2024, journal of hazardous materials ,ps,5,beads,mice,oral gavage,56,21,none,M,,,M,M,M,M,,M,,fluorescence microscopy
924,thyroid and parathyroid function disorders induced by short-term exposure of microplastics and nanoplastics: exploration of toxic mechanisms and early warning biomarkers ,2024, journal of hazardous materials ,ps,0.05,beads,mice,intratracheal administration,5,50,none,M,,,M,M,,,,,,other microscope
924,thyroid and parathyroid function disorders induced by short-term exposure of microplastics and nanoplastics: exploration of toxic mechanisms and early warning biomarkers ,2024, journal of hazardous materials ,ps,5,beads,mice,intratracheal administration,5,50,none,M,,,M,M,,,,,,other microscope
925,microplastic polyethylene induced inner ear dysfunction in murine model,2024,journal of hazardous materials,pe,20,irregular,mice,oral gavage,120,0.42,none,,,,,,,,,,,FTIR_Raman spectroscopy
941,from insects to mammals! tissue accumulation and transgenerational transfer of micro/nano-plastics through the food chain ,2024, journal of hazardous materials ,ps,8,beads,mice,oral gavage,24,,none,M,M,,M,M,M,M,,M,,fluorescence microscopy
941,from insects to mammals! tissue accumulation and transgenerational transfer of micro/nano-plastics through the food chain ,2024, journal of hazardous materials ,ps,0.08,beads,mice,oral gavage,24,,none,M,M,,M,M,M,M,,M,,fluorescence microscopy
961,toxicological effects and mechanisms of renal injury induced by inhalation exposure to airborne nanoplastics ,2025, journal of hazardous materials ,ps,0.1,beads,mice,inhalation,7,1,none,,,,M,,,,,,,fluorescence microscopy
962,toxicological effects and mechanisms of renal injury induced by inhalation exposure to airborne nanoplastics ,2025, journal of hazardous materials ,ps,0.1,beads,mice,inhalation,14,1,none,,,,M,,,,,,,fluorescence microscopy
965,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,oral gavage,0.25,200,none,N,,M,N,,,N,,,N,fluorescence microscopy
965,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,oral gavage,0.5,200,none,N,,M,N,,,N,,,N,fluorescence microscopy
965,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,oral gavage,1,200,none,N,,M,N,,,N,,,N,fluorescence microscopy
965,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,oral gavage,2,200,none,M,,M,N,,,N,,,N,fluorescence microscopy
966,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,oral gavage,0.25,200,none,N,,M,N,,,N,,,N,fluorescence microscopy
966,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,oral gavage,0.5,200,none,M,,M,M,,,N,,,N,fluorescence microscopy
966,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,oral gavage,1,200,none,M,,M,M,,,N,,,N,fluorescence microscopy
966,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,oral gavage,2,200,none,M,,M,M,,,N,,,N,fluorescence microscopy
967,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,intravenous administration,0.25,30,none,M,,H,M,,,M,,,M,fluorescence microscopy
967,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,intravenous administration,0.5,30,none,M,,H,M,,,M,,,M,fluorescence microscopy
967,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,intravenous administration,1,30,none,M,,H,M,,,M,,,M,fluorescence microscopy
967,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,intravenous administration,2,30,none,M,,M,M,,,M,,,M,fluorescence microscopy
968,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,intravenous administration,0.25,30,none,M,,H,M,,,M,,,M,fluorescence microscopy
968,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,intravenous administration,0.5,30,none,M,,H,H,,,M,,,M,fluorescence microscopy
968,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,intravenous administration,1,30,none,M,,M,H,,,M,,,M,fluorescence microscopy
968,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,intravenous administration,2,30,none,H,,N,H,,,H,,,M,fluorescence microscopy
969,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,5,,mice,oral gavage,28,50,none,H,,,H,,,H,,,M,fluorescence microscopy
969,size-dependent internalization of polystyrene microplastics as a key factor in macrophages and systemic toxicity,2025,journal of hazardous materials,ps,0.5,,mice,oral gavage,28,50,none,H,,,H,,,H,,,H,fluorescence microscopy
1027,distribution and toxicity of submicron plastic particles in mice ,2023, environmental toxicology and pharmacology ,ps,0.8,beads,mice,oral gavage,28,11.9,none,M,,M,M,,H,H,,M,,fluorescence microscopy
1027,distribution and toxicity of submicron plastic particles in mice ,2023, environmental toxicology and pharmacology ,ps,0.2,beads,mice,oral gavage,28,11.9,none,M,,M,M,,H,M,,N,,fluorescence microscopy
1040,the role of lycopene in alleviating nanoplastic-induced liver inflammation and steatosis: insights from gut microbiota remodeling ,2024, food bioscience ,ps,0.08,beads,mice,oral gavage,84,2.5,Yes,M,,,,,,,,,,fluorescence microscopy
